,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Video Release Date,Channel,Views,Likes,Comments,Licensed,official_video,Stream
398,Ashanti,https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83,Energy,Energy,single,spotify:track:1xWC2YE7OEcgQd4w8Gqa3p,0.816,0.588,1,-9.994,0.225,0.445,0.000244,0.386,0.68,100.019,186600,https://www.youtube.com/watch?v=6xzj-vxGXH0,DJ TUNEZ - Energy Ft. Ashanti & Adekunle Gold (Official Video),05-08-2022,Cena Maan L™,88080,1976,38,FALSE,FALSE,4780508
399,Bruno & Marrone,https://open.spotify.com/artist/5JXhkyafynxCvxtov7C1PV,Deixa Ela Em Paz,Deixa Ela Em Paz,single,spotify:track:0HIhSuAe5lq7ywxqlAt5Nl,0.465,0.622,1,-6.464,0.07,0.601,0,0.174,0.451,156.724,201152,,,25-11-2017,,,,,,,26415765
400,Method Man,https://open.spotify.com/artist/4VmEWwd8y9MCLwexFMdpwt,Part II,How High,compilation,spotify:track:2n7h09QrGitVul66b2D8Re,0.775,0.837,10,-4.965,0.39,0.0383,0,0.315,0.807,95.86,244600,https://www.youtube.com/watch?v=6kGIeBMbX9Y,Method Man & Redman - How High Part 2 (Official Video),10-03-2022,UPROXX Video,25081589,191630,2717,FALSE,FALSE,45426822
401,Method Man,https://open.spotify.com/artist/4VmEWwd8y9MCLwexFMdpwt,How High - Remix,How High,single,spotify:track:4fM3s8EijMqI2vzL7V58YF,0.816,0.841,2,-5.744,0.357,0.0395,1.40E-06,0.307,0.659,91.577,240133,https://www.youtube.com/watch?v=6kGIeBMbX9Y,Method Man & Redman - How High Part 2 (Official Video),19-05-2022,UPROXX Video,25081589,191630,2717,FALSE,FALSE,20117129
402,G. V. Prakash,https://open.spotify.com/artist/5VVN3xZw1i2qihfITZlvCZ,Vaa Vaathi,Vaathi,single,spotify:track:0cgwdBXXlPfXJXWf3wMs32,0.582,0.504,9,-8.423,0.05,0.355,0,0.86,0.428,90.899,225381,https://www.youtube.com/watch?v=5BQQM4uvRkw,"Vaa Vaathi Lyrical Song | Vaathi Songs | Dhanush, Samyuktha | GV Prakash Kumar | Venky Atluri",16-04-2022,Aditya Music Tamil,32511618,443923,9377,TRUE,TRUE,14532274
403,G. V. Prakash,https://open.spotify.com/artist/5VVN3xZw1i2qihfITZlvCZ,Pirai Thedum,Mayakkam Enna,single,spotify:track:7tMn4y7eBEMcUFIWZPaHCM,0.638,0.631,4,-6.993,0.0353,0.624,0.0144,0.074,0.46,119.973,332711,https://www.youtube.com/watch?v=6B2jvf81LxE,"Pirai Thedum Iravilae Tamil Video Song | Mayakkam Enna | G.V. Prakash | Dhanush, Richa",24/10/2020,Rajshri Tamil,8853708,92408,1534,TRUE,TRUE,26570846
404,G. V. Prakash,https://open.spotify.com/artist/5VVN3xZw1i2qihfITZlvCZ,Mastaaru Mastaaru,Sir,single,spotify:track:59eeV0SIeyd431uyjAWCRe,0.594,0.534,9,-8.007,0.0428,0.385,0,0.877,0.364,91.082,225425,https://www.youtube.com/watch?v=yJF9Fs4IFb0,"Mastaaru Mastaaru Lyrical Song | Sir Songs | Dhanush, Samyuktha | GV Prakash Kumar | Venky Atluri",13/11/2021,Aditya Music Telugu,7398692,120441,1409,TRUE,TRUE,2832857
405,G. V. Prakash,https://open.spotify.com/artist/5VVN3xZw1i2qihfITZlvCZ,Neeve,Darling (Original Motion Picture Soundtrack),single,spotify:track:4QMZ6gwFTLk9qOhaQsGIxf,0.749,0.646,2,-9.598,0.0389,0.111,0.0426,0.22,0.752,129.996,281520,https://www.youtube.com/watch?v=0Olv8zM_rps,Darling - Neeve Video | Prabhas | G.V. Prakash Kumar,12/07/2022,SonyMusicSouthVEVO,21266116,116834,2519,TRUE,TRUE,10528551
406,Banda El Recodo,https://open.spotify.com/artist/6AcOTCYBMvjKYy4zms0kaC,El Reemplazo,El Reemplazo,single,spotify:track:6mVWXZDsMguKrTHfiCyIVu,0.473,0.449,11,-4.548,0.0321,0.352,0,0.182,0.515,106.446,235213,https://www.youtube.com/watch?v=x97mC5LnuLk,Grupo Firme + Banda El Recodo - El Reemplazo (Official Video) 2022,26/11/2019,Grupo Firme,39864879,263906,4923,TRUE,TRUE,20459466
407,Devi Sri Prasad,https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU,"Srivalli (From ""Pushpa The Rise Part - 01"")","Srivalli (From ""Pushpa The Rise Part - 01"")",single,spotify:track:7sVEoPc5ZUUQerRkgTypUZ,0.787,0.603,9,-4.781,0.034,0.435,0,0.101,0.743,106.984,224072,https://www.youtube.com/watch?v=l8jcSwlh7bo,"SRIVALLI (From ""Pushpa - The Rise Part - 01"") - Javed Ali, Devi Sri Prasad, Sid Sriram",30/07/2019,Emma Heesters,7367391,409013,11891,FALSE,FALSE,79523556
408,Devi Sri Prasad,https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU,Boss Party,"Boss Party (From ""Waltair Veerayya"")",single,spotify:track:4sJ9X27MSCue4d0t48MXwe,0.897,0.816,7,-5.357,0.239,0.0395,0.000549,0.26,0.637,143.913,200208,https://www.youtube.com/watch?v=nsMhMQfD0V0,"Waltair Veerayya - Boss Party Lyric Video | Megastar Chiranjeevi, Urvashi Rautela | DSP, Bobby Kolli",19/08/2020,Sony Music South,64110280,640934,21295,TRUE,TRUE,9644119
409,Devi Sri Prasad,https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU,"Poonakaalu Loading (From ""Waltair Veerayya"")","Poonakaalu Loading (From ""Waltair Veerayya"")",single,spotify:track:3km6pEkxF4OLJpMDz8nNSQ,0.815,0.934,2,-7.756,0.173,0.514,0.0194,0.0942,0.63,90.048,198198,https://www.youtube.com/watch?v=B5S2xQU4BQk,Waltair Veerayya - Poonakaalu Loading Lyric | Megastar Chiranjeevi | Ravi Teja | DSP | Bobby Kolli,03/05/2017,Sony Music South,28210597,384127,13129,TRUE,TRUE,4371178
410,Devi Sri Prasad,https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU,"Sridevi Chiranjeevi (From ""Waltair Veerayya"")","Sridevi Chiranjeevi (From ""Waltair Veerayya"")",single,spotify:track:417fjHB7tqIaovwPvWskHX,0.826,0.655,5,-8.184,0.273,0.392,6.81E-05,0.0593,0.819,82.428,178364,https://www.youtube.com/watch?v=i9FEct8dCso,"Waltair Veerayya - Sridevi Chiranjeevi Lyric | Megastar Chiranjeevi, Shruti Haasan, DSP, Bobby Kolli",12/02/2019,Sony Music South,15864354,231226,9545,TRUE,TRUE,3374324
411,Devi Sri Prasad,https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU,Neekemo Andamekkuva,Waltair Veerayya (Original Motion Picture Soundtrack),single,spotify:track:4qPwLohB0tei9j5UBz66UR,0.932,0.72,10,-8.136,0.164,0.236,0.00974,0.0516,0.917,109.986,212182,https://www.youtube.com/watch?v=Gx5kMtPDS6Q,Neekemo Andamekkuva,05/08/2020,Devi Sri Prasad - Topic,337091,2662,15,TRUE,TRUE,1527728
412,Devi Sri Prasad,https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU,"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")","Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")",single,spotify:track:4oglYe270D9yn6Gc0JWc03,0.922,0.763,5,-5.948,0.0974,0.261,0.0672,0.464,0.478,128.032,226313,https://www.youtube.com/watch?v=sqmNziU3OxQ,"Oo Bolega ya Oo Oo Bolega Ft Samantha ( Full Video) Pushpa | Allu A, Rashmika|Kanika K, DSP, Sukumar",19/01/2021,T-Series,358451586,3635600,38349,TRUE,TRUE,26290949
